Nit;Pho;Dox;Ppn;Sst;Chl;Sal
28.37;2.68;252.85;22.70;14.15;11.68;16.36
25.62;2.67;252.63;22.69;14.14;11.68;16.37
23.61;2.67;252.47;22.74;14.14;11.67;16.37
22.36;2.70;252.25;22.84;14.12;11.63;16.38
21.71;2.76;252.10;22.81;14.10;11.53;16.38
21.16;2.84;251.83;22.90;14.08;11.38;16.38
20.54;2.93;251.85;22.92;14.05;11.34;16.37
19.72;3.05;251.49;23.00;14.03;11.28;16.37
18.73;3.20;251.45;23.03;14.00;11.18;16.37
17.53;3.31;251.11;22.96;13.98;11.15;16.37
16.38;3.41;251.07;22.89;13.97;11.05;16.37
15.25;3.48;250.64;22.62;13.95;10.83;16.36
14.68;3.55;250.59;22.39;13.94;10.68;16.34
14.91;3.66;250.20;22.59;13.91;10.53;16.30
15.44;3.78;250.31;23.11;13.86;10.62;16.25
15.98;3.88;250.09;23.68;13.80;10.84;16.21
16.18;3.95;250.22;23.88;13.74;11.09;16.17
16.04;4.01;249.34;22.86;13.68;11.07;16.17
120.95;3.45;258.17;18.10;13.90;8.29;15.52
114.59;3.36;257.63;17.23;13.88;8.18;15.53
105.97;3.18;257.23;16.30;13.87;8.42;15.55
96.52;2.98;257.24;15.90;13.86;9.10;15.59
86.91;2.76;257.39;16.07;13.86;10.02;15.65
77.17;2.50;257.49;16.47;13.87;10.93;15.71
68.17;2.25;257.48;16.62;13.87;11.68;15.78
60.42;2.03;257.30;16.47;13.88;12.12;15.86
54.03;1.86;257.12;16.23;13.90;12.38;15.93
49.20;1.74;256.95;16.31;13.92;12.72;15.98
46.02;1.67;256.94;16.37;13.94;13.05;16.03
44.23;1.65;256.82;16.42;13.97;13.19;16.07
43.57;1.68;256.71;16.45;14.00;13.15;16.10
43.61;1.72;256.58;16.06;14.03;12.89;16.12
43.37;1.76;256.44;15.95;14.04;12.60;16.13
41.98;1.77;256.31;15.79;14.05;12.45;16.14
39.98;1.74;256.27;15.67;14.06;12.47;16.16
37.73;1.69;256.00;15.46;14.08;12.20;16.17
35.46;1.63;255.63;15.01;14.10;11.78;16.19
32.88;1.57;255.33;14.65;14.13;11.46;16.21
30.06;1.51;255.24;14.73;14.17;11.42;16.22
27.10;1.46;255.46;15.69;14.22;11.78;16.24
24.30;1.45;255.82;17.07;14.26;12.40;16.25
22.26;1.49;256.03;18.24;14.29;12.95;16.26
21.27;1.55;256.10;19.10;14.32;13.34;16.27
21.09;1.60;256.19;20.01;14.34;13.63;16.27
22.10;1.65;256.07;20.36;14.36;13.75;16.29
23.87;1.68;255.84;20.31;14.37;13.54;16.30
26.08;1.72;255.23;19.59;14.38;12.91;16.31
28.08;1.75;254.67;18.34;14.38;12.26;16.32
29.79;1.78;254.20;17.50;14.38;11.64;16.34
31.08;1.81;253.68;16.69;14.38;11.04;16.37
32.18;1.83;253.40;15.99;14.38;10.57;16.40
33.09;1.86;253.06;15.67;14.38;10.25;16.42
34.02;1.91;252.92;15.64;14.37;10.13;16.45
35.43;1.99;252.80;16.04;14.36;10.06;16.46
37.53;2.12;252.82;17.00;14.35;10.04;16.48
39.44;2.27;252.97;18.31;14.35;10.20;16.48
39.74;2.38;253.09;19.48;14.34;10.53;16.49
38.39;2.44;253.05;20.23;14.33;10.87;16.49
35.92;2.49;252.91;20.47;14.32;11.05;16.49
32.88;2.53;252.66;20.65;14.30;11.04;16.49
29.62;2.57;252.45;20.54;14.29;10.97;16.48
26.53;2.57;252.27;20.55;14.28;10.91;16.48
23.95;2.56;252.10;20.63;14.28;10.87;16.48
22.02;2.55;251.90;20.36;14.27;10.83;16.48
20.89;2.56;251.87;20.74;14.25;10.93;16.49
20.04;2.61;251.77;21.11;14.23;11.03;16.49
19.41;2.68;251.84;21.35;14.20;11.07;16.49
18.63;2.76;251.67;21.76;14.17;11.13;16.48
17.54;2.87;251.68;21.90;14.13;11.15;16.47
